type,name,price_million_usd,pct_picked,season_pts
Driver,George Russell,28.6,27.00%,153
Driver,Max Verstappen,28.3,17.00%,129
Driver,Lando Norris,26.4,9.00%,89
Driver,Oscar Piastri,24.7,10.00%,63
Driver,Kimi Antonelli,24.4,30.00%,192
Driver,Charles Leclerc,24.0,30.00%,138
Driver,Lewis Hamilton,23.5,15.00%,112
Driver,Carlos Sainz,13.0,25.00%,60
Driver,Pierre Gasly,12.8,19.00%,37
Driver,Isack Hadjar,12.7,29.00%,0
Driver,Esteban Ocon,9.7,15.00%,56
Driver,Alexander Albon,9.6,8.00%,20
Driver,Oliver Bearman,9.4,60.00%,46
Driver,Franco Colapinto,8.2,20.00%,41
Driver,Liam Lawson,8.1,30.00%,38
Driver,Fernando Alonso,8.0,7.00%,3
Driver,Sergio Perez,7.6,19.00%,47
Driver,Arvid Lindblad,7.0,41.00%,19
Driver,Lance Stroll,5.6,3.00%,-37
Driver,Gabriel Bortoleto,5.2,31.00%,9
Driver,Nico Hulkenberg,4.4,33.00%,-32
Driver,Valtteri Bottas,3.9,22.00%,-7
Constructor,Mercedes,30.5,33.00%,407
Constructor,Red Bull Racing,29.2,7.00%,143
Constructor,McLaren,28.9,12.00%,194
Constructor,Ferrari,24.5,41.00%,320
Constructor,Alpine,14.9,7.00%,109
Constructor,Williams,14.4,11.00%,93
Constructor,Haas F1 Team,9.8,31.00%,118
Constructor,Racing Bulls,8.7,30.00%,105
Constructor,Aston Martin,7.9,2.00%,-32
Constructor,Cadillac,5.6,8.00%,38
Constructor,Audi,5.0,19.00%,-8
