position,driver_code,team_id,fastest_lap,dotd,dnf,points,positions_gained
1,ANT,mercedes,False,False,False,,
2,PIA,mclaren,False,False,False,,
3,LEC,ferrari,False,False,False,,
4,RUS,mercedes,False,False,False,,
5,NOR,mclaren,False,False,False,,
6,HAM,ferrari,False,False,False,,
7,GAS,alpine,False,False,False,,
8,VER,red_bull,False,False,False,,
9,LAW,racing_bulls,False,False,False,,
10,OCO,haas,False,False,False,,
11,HUL,audi,False,False,False,,
12,HAD,red_bull,False,False,False,,
13,BOR,audi,False,False,False,,
14,LIN,racing_bulls,False,False,False,,
15,SAI,williams,False,False,False,,
16,COL,alpine,False,False,False,,
17,PER,cadillac,False,False,False,,
18,ALO,aston_martin,False,False,False,,
19,BOT,cadillac,False,False,False,,
20,ALB,williams,False,False,False,,
,STR,aston_martin,False,False,True,,
,BEA,haas,False,False,True,,
